Учетный день,Количество гостей,"Сумма без скидки, р.","Средняя выручка с гостя, р."
06.04.2021,282,1179.02,4.06
07.04.2021,296,1204.11,3.96
08.04.2021,281,1152.14,4.01
09.04.2021,286,1143.10,3.90
10.04.2021,227,961.10,4.15
11.04.2021,97,419.03,4.27
12.04.2021,291,1165.11,3.92
13.04.2021,310,1265.10,4.04
14.04.2021,294,1192.08,4.03
15.04.2021,285,1179.13,4.03
16.04.2021,279,1241.05,4.35
17.04.2021,153,869.10,5.58
18.04.2021,112,500.06,4.41
19.04.2021,293,1282.16,4.29
20.04.2021,308,1196.12,3.78
21.04.2021,318,1291.12,3.99
22.04.2021,329,1382.14,4.11
23.04.2021,309,1233.15,3.83
24.04.2021,239,1134.07,4.60
25.04.2021,90,452.01,4.86
26.04.2021,284,1159.09,4.07
27.04.2021,303,1223.10,3.98
28.04.2021,328,1310.11,3.98
29.04.2021,323,1271.14,3.86
30.04.2021,308,1219.12,3.87
01.05.2021,121,527.02,4.27
02.05.2021,52,177.01,3.24
03.05.2021,264,1045.08,3.91
04.05.2021,312,1117.12,3.54
05.05.2021,343,1398.14,4.04
06.05.2021,335,1254.14,3.61
07.05.2021,280,1090.08,3.84
08.05.2021,175,702.06,3.92
09.05.2021,88,365.02,4.13
10.05.2021,115,427.03,3.66
11.05.2021,90,364.02,3.96
12.05.2021,338,1368.14,4.01
13.05.2021,304,1195.17,3.92
14.05.2021,342,1357.14,3.93
15.05.2021,212,802.11,3.72
16.05.2021,132,498.07,3.67
17.05.2021,288,1227.08,4.25
18.05.2021,347,1369.15,3.89
19.05.2021,355,1456.13,4.05
20.05.2021,341,1242.10,3.56
21.05.2021,374,1612.15,4.25
22.05.2021,229,1046.05,4.47
23.05.2021,98,418.03,4.17
24.05.2021,393,1533.08,3.88
25.05.2021,333,1431.05,4.28
26.05.2021,350,1494.12,4.22
27.05.2021,427,1688.09,3.92
28.05.2021,322,1237.06,3.77
29.05.2021,266,1275.10,4.75
30.05.2021,141,692.07,4.85
31.05.2021,373,1566.09,4.17
01.06.2021,356,1351.16,3.77
02.06.2021,360,1430.13,3.91
03.06.2021,381,1485.11,3.84
04.06.2021,327,1271.03,3.85
05.06.2021,201,894.04,4.40
06.06.2021,95,366.00,3.85
07.06.2021,307,1224.13,3.94
08.06.2021,338,1323.14,3.87
09.06.2021,321,1335.08,4.06
