Учетный день,Количество гостей,"Сумма без скидки, р.","Средняя выручка с гостя, р."
24.01.2023,226,1286.47,5.58
25.01.2023,221,1245.33,5.45
26.01.2023,206,1197.17,5.65
27.01.2023,185,1098.02,5.68
28.01.2023,130,817.20,6.12
29.01.2023,51,260.00,4.67
30.01.2023,153,834.49,5.30
31.01.2023,173,905.13,5.00
01.02.2023,190,1059.72,5.37
02.02.2023,172,994.68,5.54
03.02.2023,179,1003.49,5.38
04.02.2023,134,752.73,5.43
05.02.2023,49,299.00,5.94
06.02.2023,168,906.05,5.23
07.02.2023,183,991.26,5.15
08.02.2023,197,1090.06,5.22
09.02.2023,229,1197.40,4.97
10.02.2023,188,1082.02,5.46
11.02.2023,141,762.68,5.22
12.02.2023,60,303.37,4.92
13.02.2023,211,1188.92,5.38
14.02.2023,189,1092.45,5.35
15.02.2023,249,1388.83,5.35
16.02.2023,237,1299.30,5.30
17.02.2023,219,1256.64,5.42
18.02.2023,158,946.91,5.75
19.02.2023,71,384.23,5.17
20.02.2023,201,1107.14,5.31
21.02.2023,210,1097.13,4.87
22.02.2023,247,1341.66,5.22
23.02.2023,220,1144.34,5.13
24.02.2023,191,1051.64,5.31
25.02.2023,123,683.23,5.47
26.02.2023,54,369.34,6.74
27.02.2023,177,956.56,5.13
28.02.2023,204,1090.99,5.16
01.03.2023,208,1294.70,5.93
02.03.2023,189,1007.64,5.13
03.03.2023,195,1157.31,5.65
04.03.2023,135,799.68,5.76
05.03.2023,55,351.88,6.05
06.03.2023,187,992.32,5.12
07.03.2023,202,1028.43,4.92
08.03.2023,67,376.83,5.62
09.03.2023,227,1194.96,5.09
10.03.2023,172,957.56,5.37
11.03.2023,142,936.09,6.45
12.03.2023,70,407.23,5.49
13.03.2023,195,1127.96,5.54
14.03.2023,203,1072.13,5.00
15.03.2023,177,1007.32,5.51
16.03.2023,228,1244.56,5.31
17.03.2023,198,1065.10,5.16
18.03.2023,153,874.31,5.51
19.03.2023,58,295.66,4.96
20.03.2023,243,1339.31,5.28
21.03.2023,249,1403.47,5.31
22.03.2023,237,1321.17,5.34
23.03.2023,262,1448.96,5.27
24.03.2023,227,1266.27,5.43
25.03.2023,158,951.84,5.80
26.03.2023,63,425.00,6.39
27.03.2023,269,1558.76,5.58
28.03.2023,185,978.65,5.05
29.03.2023,227,1265.70,5.39
30.03.2023,231,1245.95,5.16
31.03.2023,237,1355.80,5.56
